Iphone	tag	zhi_score	phone_score	guide_score	risk_level	high_orders	airport_orders	company	consume	area
536298	0	4	2	0	1	0	0	0.968	0.455	0
9807872	0	4	4	0	0	0	0	0.063	0.233	0
8714661	0	5	3	0	1	0	0	1	0.437	0
7205812	0	4	4	0	1	0	0	0.52	0.358	0
5173666	0	3	3	5	1	0	0	0.107	0.106	0
4071184	0	4	3	0	1	0	0	0.478	0.338	0
9686023	1	4	13	20	0	0	0	0	0	0
8088924	0	3	4	0	1	0	0	0.962	0.211	0
7047469	0	2	8	0	1	0	0	0.051	0.532	0
8800528	0	4	4	0	1	1	1	0.354	0.678	0
2731647	0	5	4	0	1	1	0	0.933	0.336	1
9701414	0	6	2	0	1	0	0	0.94	0.676	0
4402975	0	2	4	0	1	0	0	0.497	0.397	0
4175157	0	6	2	0	1	0	2	0.851	0.873	0
1194516	0	6	4	0	1	3	10	0.357	0.759	0
3104469	0	4	3	5	1	0	0	0.41	0.602	0
4235083	0	3	67	0	1	0	1	0.034	0.264	0
7639737	0	2	4	0	0	0	0	0.426	0.249	0
3291370	0	5	4	0	1	0	0	0.933	0.605	0
4889947	0	2	70	0	1	0	0	0.003	0.257	0
6006862	0	5	3	0	1	0	0	0.793	0.354	0
1182455	0	5	4	0	1	0	0	0.616	0.329	0
1536578	0	4	7	0	1	0	0	0.892	0.179	0
4327401	0	5	3	0	1	0	0	0.822	0.115	1
1321164	0	5	6	0	1	3	31	0.392	0.883	0
8049269	0	3	3	0	1	0	1	0.019	0.521	0
3249707	0	3	4	0	1	0	0	0.296	0.669	0
9916949	0	4	2	0	0	0	0	0.526	0.339	0
4421198	0	5	3	0	1	0	1	0.964	0.513	0
6363594	0	6	3	0	1	0	3	0.926	0.567	0
8566724	0	2	4	0	1	0	0	0.381	0.103	0
8983715	0	6	3	0	1	0	0	0.558	0.085	0
4648920	0	5	3	0	1	0	3	0.311	0.21	0
721085	0	5	3	0	1	0	1	1	0.385	0
6498720	0	6	4	0	1	4	2	0.801	0.428	0
785416	0	2	3	0	1	0	0	0.523	0.144	0
6276110	0	5	3	0	0	0	0	0.184	0.367	1
7562341	0	1	5	0	0	0	0	0.607	0	0
1719008	0	5	3	0	1	0	0	0.836	0.168	0
4436988	0	3	18	0	1	1	0	0.762	0.555	1
9532919	0	4	7	0	1	0	0	0.844	0.223	0
7978969	0	6	4	0	1	0	0	0.899	0.903	1
9220808	0	4	2	0	1	0	0	0.736	0.498	0
4653645	0	4	3	0	1	0	1	1	0.62	0
4117542	0	3	7	0	1	0	0	0.194	0.474	0
6841464	0	6	3	0	1	0	0	0.392	0.39	0
640177	0	4	4	0	0	0	0	0.967	0.331	0
673081	0	3	4	10	1	0	0	0.947	0.324	0
4227939	0	5	4	0	1	0	0	0.317	0.283	0
9164757	0	5	4	0	1	0	0	0.78	0.133	0
9870496	0	5	3	0	1	0	1	1	0.443	0
1953440	0	4	3	0	1	0	10	0.085	0.262	0
853411	0	5	4	0	1	0	0	0.723	0.37	0
8485035	0	2	9	0	1	0	0	0.953	0.161	0
7881949	0	4	3	0	1	3	0	0.111	0.677	0
4463189	0	3	4	0	1	0	0	0.676	0.661	0
